as_of,und,exp_dt,strike_px,put_call,bid_px,ask_px,last_px,trd_vol,oi,imp_vol,delta,opt_root,exch,snap_id,rec_hash
20260724,ES,2026-10-16,5700,C,208.75,212,210.5,7514,32535,0.1125,0.881,ES,CME,snap-20260724-es,ES-20261016-5700-C-20260724
07/24/2026,ES,10/16/2026,5700,P,110,111.75,111,7423,31439,0.1138,-0.119,ES,CME,snap-20260724-es,ES-20261016-5700-P-20260724
07/24/2026,ES,2026-10-16,5750,C,158.25,160.5,159.50,14957,36152,0.1115,0.932,ES,CME,snap-20260724-es,ES-20261016-5750-C-20260724
2026-07-24,ES,10/16/2026,5750,P,108.5,110,109.25,6161,24241,0.1121,-0.068,ES,CME,snap-20260724-es,ES-20261016-5750-P-20260724
2026-07-24,ES,2026-10-16,5800,C,107.50,109.25,108.5,19650,77114,0.1105,0.999,ES,CME,snap-20260724-es,ES-20261016-5800-C-20260724
2026-07-24,ES,2026-10-16,5800,P,106.75,108.5,107.5,26208,118690,0.1105,-0.001,ES,CME,snap-20260724-es,ES-20261016-5800-P-20260724
07/24/2026,ES,2026-10-16,5850,C,108,109.5,108.75,6523,16020,0.1117,0.934,ES,CME,snap-20260724-es,ES-20261016-5850-C-20260724
2026-07-24,ES,20261016,5850,P,156.75,159,158.00,17093,89406,0.1115,-0.066,ES,CME,snap-20260724-es,ES-20261016-5850-P-20260724
2026-07-24,ES,2026-10-16,5900,C,109,110.75,110,18641,71482,0.1129,0.882,ES,CME,snap-20260724-es,ES-20261016-5900-C-20260724
07/24/26,ES,2026-10-16,5900,P,207.25,210.5,209,13305,"44,270",0.1125,-0.118,ES,CME,snap-20260724-es,ES-20261016-5900-P-20260724
2026-07-24,ES,20261016,5950,C,110.25,112,111,7950,34164,0.1141,0.84,ES,CME,snap-20260724-es,ES-20261016-5950-C-20260724
2026-07-24,ES,10/16/2026,5950,P,257.75,262.00,260,6686,36542,0.1135,-0.158,ES,CME,snap-20260724-es,ES-20261016-5950-P-20260724
2026-07-24,ES,20261016,6000,Call,111.5,113.25,112.5,11809,28634,0.1153,0.81,ES,CME,snap-20260724-es,ES-20261016-6000-C-20260724
07/24/2026,ES,2026-10-16,6000,put,308.25,313.25,310.75,7946,42240,0.1145,-0.191,ES,CME,snap-20260724-es,ES-20261016-6000-P-20260724
2026-07-24,ES,2026-10-16,6050,C,112.5,114.5,113.5,8459,25004,0.1165,0.782,ES,CME,snap-20260724-es,ES-20261016-6050-C-20260724
20260724,ES,2026-10-16,6050,P,358.75,364.75,361.75,8433,42757,0.1155,-0.218,ES,CME,snap-20260724-es,ES-20261016-6050-P-20260724
07/24/26,ES,10/16/2026,6100,C,113.75,115.75,114.75,"7,482",23009,0.1177,0.759,ES,CME,snap-20260724-es,ES-20261016-6100-C-20260724
2026-07-24,ES,20261016,6100,P,409.25,416.25,412.75,"8,973",41485,0.1165,-0.241,ES,CME,snap-20260724-es,ES-20261016-6100-P-20260724
2026-07-24,ES,2026-10-16,6150,C,114.75,116.75,115.75,3232,12029,0.119,0.74,ES,CME,snap-20260724-es,ES-20261016-6150-C-20260724
2026-07-24,es,10/16/2026,6150,Put,459.75,467.75,463.75,4824,21330,0.1175,-0.26,ES,CME,snap-20260724-es,ES-20261016-6150-P-20260724
2026-07-24,ES,2026-10-16,6200,C,116,118,117,4123,11635,0.12,0.723,ES,CME,snap-20260724-es,ES-20261016-6200-C-20260724
2026-07-24,es,10/16/26,6200,P,510.25,519.25,514.75,3282,9609,0.1186,-0.277,ES,CME,snap-20260724-es,ES-20261016-6200-P-20260724
07/24/26,ES,2026-10-16,6250,Call,117.25,119.25,118.25,1361,4684,0.1214,0.709,ES,CME,snap-20260724-es,ES-20261016-6250-C-20260724
07/24/2026,ES,2026-10-16,6250,P,560.5,570.75,565.5,1830,9664,0.12,-0.291,ES,CME,snap-20260724-es,ES-20261016-6250-P-20260724
2026-07-24,ES,2026-10-16,6300,Call,118.25,120.5,119.5,475,1247,0.1226,0.70,ES,CME,snap-20260724-es,ES-20261016-6300-C-20260724
2026-07-24,ES,10/16/2026,6300,P,611,622.25,616.5,505,2405,0.1206,-0.304,ES,CME,snap-20260724-es,ES-20261016-6300-P-20260724
2026-07-24,ES,20261218,5300,C,648.25,664,656,341,1216,0.1206,0.696,ES,CME,snap-20260724-es,ES-20261218-5300-C-20260724
2026-07-24,ES,2026-12-18,5300,P,161.5,165.25,163.5,245,897,0.1268,-0.304,ES,CME,snap-20260724-es,ES-20261218-5300-P-20260724
2026-07-24,ES,2026-12-18,5350,C,597.75,612,605.00,378,1256,0.1196,0.708,ES,CME,snap-20260724-es,ES-20261218-5350-C-20260724
2026-07-24,ES,2026-12-18,5350,P,159.25,163.25,161.25,397,1756,0.1251,-0.292,ES,CME,snap-20260724-es,ES-20261218-5350-P-20260724
20260724,ES,20261218,5400,C,547.25,560.00,553.5,1715,6404,0.1186,0.723,ES,CME,snap-20260724-es,ES-20261218-5400-C-20260724
2026-07-24,ES,12/18/26,5400,P,157.25,161,159,1891,"7,907",0.1235,-0.277,ES,CME,snap-20260724-es,ES-20261218-5400-P-20260724
2026-07-24,ES,20261218,5450,C,496.5,508,502.25,2304,6816,0.1176,0.739,ES,CME,snap-20260724-es,ES-20261218-5450-C-20260724
07/24/2026,ES,12/18/2026,5450,P,155.25,158.75,157,1553,5098,0.1219,-0.261,ES,CME,snap-20260724-es,ES-20261218-5450-P-20260724
20260724,ES,2026-12-18,5500,C,446,456,451,3318,13360,0.1166,0.759,ES,CME,snap-20260724-es,ES-20261218-5500-C-20260724
20260724,ES,2026-12-18,5500,P ,153.25,156.75,155.00,2128,10313,0.1203,-0.241,ES,CME,snap-20260724-es,ES-20261218-5500-P-20260724
2026-07-24,ES,12/18/26,5550,C,395.25,404,399.5,1496,5231,0.1156,0.781,ES,CME,snap-20260724-es,ES-20261218-5550-C-20260724
07/24/26,ES,12/18/2026,5550,P,151.25,154.5,153,4183,12837,0.1186,-0.219,ES,CME,snap-20260724-es,ES-20261218-5550-P-20260724
2026-07-24,ES,12/18/2026,5600,C,344.5,352,348.25,5423,15017,0.1145,0.808,ES,CME,snap-20260724-es,ES-20261218-5600-C-20260724
2026-07-24,ES,2026-12-18,5600,P,149.25,152.5,151,5629,15946,0.117,-0.192,ES,CME,snap-20260724-es,ES-20261218-5600-P-20260724
07/24/2026,es,2026-12-18,5650,Call,294,300.25,297,5221,18069,0.1135,0.841,ES,CME,snap-20260724-es,ES-20261218-5650-C-20260724
2026-07-24,ES,12/18/2026,5650,P,147,150.25,148.5,2727,14317,0.1154,-0.159,ES,CME,snap-20260724-es,ES-20261218-5650-P-20260724
07/24/26,ES,20261218,5700,C,243.25,248.25,245.75,4818,12090,0.1125,0.881,ES,CME,snap-20260724-es,ES-20261218-5700-C-20260724
2026-07-24,ES,2026-12-18,5700,P,145,148.25,146.5,6347,23543,0.11,-0.119,ES,CME,snap-20260724-es,ES-20261218-5700-P-20260724
2026-07-24,ES,20261218,5750,C,192.5,196.5,194.5,6258,24638,0.1115,0.932,ES,CME,snap-20260724-es,ES-20261218-5750-C-20260724
20260724,ES,20261218,5750,P,143,146,144.5,4206,22361,0.1121,-0.068,ES,CME,snap-20260724-es,ES-20261218-5750-P-20260724
07/24/26,ES,2026-12-18,5800,Call,141.75,144.5,143,6338,23180,0.1105,0.999,ES,CME,snap-20260724-es,ES-20261218-5800-C-20260724
20260724,ES,12/18/2026,5800,P,141,143.75,142.50,10372,"56,126",0.1105,-0.001,ES,CME,snap-20260724-es,ES-20261218-5800-P-20260724
2026-07-24,ES,12/18/2026,5850,C,142.5,145.5,144,5233,12997,0.1117,0.93,ES,CME,snap-20260724-es,ES-20261218-5850-C-20260724
2026-07-24,es,2026-12-18,"5,850.00",P,191,195,193,6858,23771,0.11,-0.066,ES,CME,snap-20260724-es,ES-20261218-5850-P-20260724
2026-07-24,ES,2026-12-18,5900,C,144,147,145.50,3546,11539,0.1129,0.882,ES,CME,snap-20260724-es,ES-20261218-5900-C-20260724
2026-07-24,es,2026-12-18,5900,Put,241.75,246.75,244.25,7210,35111,0.1125,-0.118,ES,CME,snap-20260724-es,ES-20261218-5900-P-20260724
2026-07-24,ES,12/18/2026,5950,C,145.5,148.5,147,5215,23410,0.1141,0.842,ES,CME,snap-20260724-es,ES-20261218-5950-C-20260724
07/24/2026,ES,12/18/2026,5950,P,292.25,298.75,295.5,3431,18252,0.1135,-0.158,ES,CME,snap-20260724-es,ES-20261218-5950-P-20260724
2026-07-24,ES,2026-12-18,6000,C,147,150.25,148.5,5493,19632,0.1153,0.809,ES,CME,snap-20260724-es,ES-20261218-6000-C-20260724
2026-07-24,ES,20261218,6000,P,343,350.50,346.75,2747,14776,0.1145,-0.19,ES,CME,snap-20260724-es,ES-20261218-6000-P-20260724
07/24/26,ES,20261218,6050,C,148.5,151.75,150,"3,696",16985,0.1165,0.782,ES,CME,snap-20260724-es,ES-20261218-6050-C-20260724
07/24/2026,ES,2026-12-18,6050,P,393.75,402.5,398,3815,15427,0.12,-0.218,ES,CME,snap-20260724-es,ES-20261218-6050-P-20260724
07/24/2026,ES,12/18/2026,6100,C,150,153.50,151.75,3403,15508,0.1177,0.759,ES,CME,snap-20260724-es,ES-20261218-6100-C-20260724
07/24/2026,ES,2026-12-18,6100,P,444.5,454.50,449.5,3128,10057,0.1165,-0.241,ES,CME,snap-20260724-es,ES-20261218-6100-P-20260724
2026-07-24,ES,20261218,6150,C,151.5,155,153.25,1941,8944,0.119,0.74,ES,CME,snap-20260724-es,ES-20261218-6150-C-20260724
07/24/2026,ES,2026-12-18,6150,P,495,506.25,500.5,1730,4960,0.1175,-0.26,ES,CME,snap-20260724-es,ES-20261218-6150-P-20260724
07/24/26,ES,2026-12-18,6200,Call,153,156.5,154.75,949,3395,0.1202,0.723,ES,CME,snap-20260724-es,ES-20261218-6200-C-20260724
07/24/2026,ES,12/18/2026,6200,Put,545.75,558.25,552,1744,8648,0.1186,-0.277,ES,CME,snap-20260724-es,ES-20261218-6200-P-20260724
2026-07-24,ES,20261218,6250,C,154.5,158.25,156.5,425,1160,0.1214,0.709,ES,CME,snap-20260724-es,ES-20261218-6250-C-20260724
20260724,ES,2026-12-18,6250,P,596.25,610.25,603.25,800,4054,0.1196,-0.291,ES,CME,snap-20260724-es,ES-20261218-6250-P-20260724
07/24/2026,ES,2026-12-18,6300,C,156,159.75,158,338,1303,0.1226,0.696,ES,CME,snap-20260724-es,ES-20261218-6300-C-20260724
2026-07-24,ES,20261218,6300,P,646.75,662.25,654.5,321,828,0.1206,-0.304,ES,CME,snap-20260724-es,ES-20261218-6300-P-20260724
2026-07-27,ES,08/21/2026,5300,C,565.00,572.75,569,992,4272,0.1207,0.695,ES,CME,snap-20260727-es,ES-20260821-5300-C-20260727
2026-07-27,es,08/21/2026,5300,P,67,68,67.5,875,3480,0.1269,-0.305,ES,CME,snap-20260727-es,ES-20260821-5300-P-20260727
2026-07-27,es,2026-08-21,"5,350.00",Call,515,521.75,518.5,2315,7869,0.1197,0.707,ES,CME,snap-20260727-es,ES-20260821-5350-C-20260727
2026-07-27,ES,2026-08-21,5350,P,66.25,67,66.50,972,3862,0.1253,-0.293,ES,CME,snap-20260727-es,ES-20260821-5350-P-20260727
2026-07-27,ES,2026-08-21,5400,C,464.75,470.75,467.75,5609,"18,480",0.1187,0.722,ES,CME,snap-20260727-es,ES-20260821-5400-C-20260727
20260727,ES,08/21/2026,5400,P,65.25,66.25,65.75,5250,19798,0.1236,-0.278,ES,CME,snap-20260727-es,ES-20260821-5400-P-20260727
07/27/26,ES,20260821,5450,C,414.75,420,417.5,3420,13631,0.1177,0.74,ES,CME,snap-20260727-es,ES-20260821-5450-C-20260727
2026-07-27,ES,2026-08-21,5450,P,64.5,65.25,65,6392,33981,0.122,-0.262,ES,CME,snap-20260727-es,ES-20260821-5450-P-20260727
07/27/2026,ES,2026-08-21,5500,C,364.5,369.00,366.75,4627,20492,0.1166,0.757,ES,CME,snap-20260727-es,ES-20260821-5500-C-20260727
2026-07-27,ES,08/21/2026,5500,Put,63.75,64.5,64,5462,15036,0.1204,-0.243,ES,CME,snap-20260727-es,ES-20260821-5500-P-20260727
2026-07-27,ES,2026-08-21,5550,C,314.25,318.00,316,12979,46479,0.1156,0.779,ES,CME,snap-20260727-es,ES-20260821-5550-C-20260727
07/27/26,ES,08/21/26,"5,550.00",P,62.75,63.5,63,9441,38703,0.1188,-0.221,ES,CME,snap-20260727-es,ES-20260821-5550-P-20260727
2026-07-27,ES,2026-08-21,5600,Call,264.25,267.25,265.75,"8,491",36876,0.11,0.806,ES,CME,snap-20260727-es,ES-20260821-5600-C-20260727
2026-07-27,ES,08/21/26,"5,600.00",P,62,62.75,62.5,9329,37673,0.1171,-0.194,ES,CME,snap-20260727-es,ES-20260821-5600-P-20260727
07/27/26,ES,20260821,5650,C,214,216.25,215,"6,488",15552,0.1136,0.838,ES,CME,snap-20260727-es,ES-20260821-5650-C-20260727
2026-07-27,ES,08/21/26,5650,P,61.00,61.75,61.5,15295,43027,0.1155,-0.162,ES,CME,snap-20260727-es,ES-20260821-5650-P-20260727
2026-07-27,ES,08/21/26,5700,Call,163.75,165.5,164.50,15183,49569,0.1126,0.877,ES,CME,snap-20260727-es,ES-20260821-5700-C-20260727
07/27/2026,ES,20260821,5700,P,60.25,61,60.5,30511,120344,0.1139,-0.123,ES,CME,snap-20260727-es,ES-20260821-5700-P-20260727
2026-07-27,ES,08/21/26,5750,C,113.50,114.75,114,15438,41720,0.1116,0.93,ES,CME,snap-20260727-es,ES-20260821-5750-C-20260727
2026-07-27,ES,2026-08-21,5750,P,59.5,60,59.75,14798,"58,462",0.1123,-0.073,ES,CME,snap-20260727-es,ES-20260821-5750-P-20260727
2026-07-27,ES,08/21/2026,5800,Call,63.25,64,63.5,"18,224",76962,0.1106,0.993,ES,CME,snap-20260727-es,ES-20260821-5800-C-20260727
2026-07-27,ES,20260821,5800,P,58.50,59.25,59,25500,130303,0.11,-0.007,ES,CME,snap-20260727-es,ES-20260821-5800-P-20260727
20260727,ES,2026-08-21,5850,C,59,59.75,59.5,9238,27508,0.1116,0.938,ES,CME,snap-20260727-es,ES-20260821-5850-C-20260727
2026-07-27,ES,20260821,5850,P,104,105,104.5,24138,99628,0.1114,-0.062,ES,CME,snap-20260727-es,ES-20260821-5850-P-20260727
2026-07-27,ES,20260821,5900,C,59.75,60.25,60.00,29328,99130,0.1128,0.886,ES,CME,snap-20260727-es,ES-20260821-5900-C-20260727
2026-07-27,ES,2026-08-21,5900,P ,154.25,155.75,155,24441,98488,0.1124,-0.114,ES,CME,snap-20260727-es,ES-20260821-5900-P-20260727
20260727,ES,2026-08-21,5950,Call,60.25,61,60.5,16717,60866,0.114,0.845,ES,CME,snap-20260727-es,ES-20260821-5950-C-20260727
2026-07-27,ES,2026-08-21,5950,P,204.5,206.75,205.5,20138,51061,0.1134,-0.155,ES,CME,snap-20260727-es,ES-20260821-5950-P-20260727
07/27/2026,ES,2026-08-21,6000,C,61,61.5,61.25,13583,30273,0.1152,0.811,ES,CME,snap-20260727-es,ES-20260821-6000-C-20260727
20260727,ES,2026-08-21,6000,Put,254.75,257.5,256,11559,48882,0.11,-0.189,ES,CME,snap-20260727-es,ES-20260821-6000-P-20260727
20260727,ES,20260821,6050,Call,61.5,62.25,62,7218,19080,0.12,0.784,ES,CME,snap-20260727-es,ES-20260821-6050-C-20260727
2026-07-27,ES,20260821,6050,put,304.75,308.5,306.5,"14,967",69536,0.1154,-0.216,ES,CME,snap-20260727-es,ES-20260821-6050-P-20260727
2026-07-27,ES,20260821,6100,C,62.25,63,62.5,6027,27933,0.1176,0.761,ES,CME,snap-20260727-es,ES-20260821-6100-C-20260727
2026-07-27,ES,2026-08-21,6100,Put,355,359.25,357,16461,48570,0.1165,-0.239,ES,CME,snap-20260727-es,ES-20260821-6100-P-20260727
20260727,ES,08/21/2026,6150,Call,62.75,63.50,63,3224,"9,998",0.1189,0.741,ES,CME,snap-20260727-es,ES-20260821-6150-C-20260727
2026-07-27,ES,2026-08-21,6150,put,405.25,410.25,407.75,7784,29591,0.1175,-0.259,ES,CME,snap-20260727-es,ES-20260821-6150-P-20260727
20260727,ES,2026-08-21,6200,C,63.5,64.25,64,2990,9340,0.1201,0.725,ES,CME,snap-20260727-es,ES-20260821-6200-C-20260727
2026-07-27,ES,2026-08-21,6200,P,455.25,461.25,458.25,8136,27145,0.1185,-0.275,ES,CME,snap-20260727-es,ES-20260821-6200-P-20260727
2026-07-27,ES,20260821,6250,C,64,65,64.5,2501,"7,959",0.1213,0.71,ES,CME,snap-20260727-es,ES-20260821-6250-C-20260727
2026-07-27,ES,2026-08-21,6250,P,505.5,512,508.75,2484,8727,0.1195,-0.29,ES,CME,snap-20260727-es,ES-20260821-6250-P-20260727
2026-07-27,ES,08/21/2026,"6,300.00",C,64.75,65.50,65,1109,4398,0.1225,0.70,ES,CME,snap-20260727-es,ES-20260821-6300-C-20260727
2026-07-27,ES,2026-08-21,6300,P,555.5,563.00,559.25,892,3570,0.1205,-0.303,ES,CME,snap-20260727-es,ES-20260821-6300-P-20260727
07/27/2026,ES,2026-08-28,"5,300.00",C,573.25,581.5,577.5,994,2270,0.1207,0.695,ES,CME,snap-20260727-es,ES-20260828-5300-C-20260727
07/27/2026,ES,08/28/2026,5300,P,75.75,76.75,76.25,590,1778,0.1269,-0.305,ES,CME,snap-20260727-es,ES-20260828-5300-P-20260727
07/27/2026,ES,08/28/26,5350,Call,523,530.25,526.5,786,3728,0.1197,0.707,ES,CME,snap-20260727-es,ES-20260828-5350-C-20260727
20260727,ES,2026-08-28,5350,P,74.75,76,75.5,2104,8439,0.1253,-0.293,ES,CME,snap-20260727-es,ES-20260828-5350-P-20260727
2026-07-27,ES,2026-08-28,5400,C,473,479.25,476,2641,9659,0.1187,0.722,ES,CME,snap-20260727-es,ES-20260828-5400-C-20260727
07/27/2026,es,2026-08-28,5400,P,74,75,74.5,4977,19669,0.1236,-0.278,ES,CME,snap-20260727-es,ES-20260828-5400-P-20260727
2026-07-27,ES,08/28/26,5450,C,422.75,428.25,425.5,3684,9879,0.1177,0.738,ES,CME,snap-20260727-es,ES-20260828-5450-C-20260727
2026-07-27,es,2026-08-28,5450,P,73,74,73.5,6651,36539,0.122,-0.262,ES,CME,snap-20260727-es,ES-20260828-5450-P-20260727
07/27/26,ES,08/28/26,5500,C,372.5,377.25,375,8613,28753,0.1166,0.757,ES,CME,snap-20260727-es,ES-20260828-5500-C-20260727
07/27/2026,ES,2026-08-28,5500,P,72,73,72.5,14556,62233,0.1204,-0.243,ES,CME,snap-20260727-es,ES-20260828-5500-P-20260727
2026-07-27,ES,20260828,5550,Call,322.25,326.25,324.25,4287,9631,0.1156,0.779,ES,CME,snap-20260727-es,ES-20260828-5550-C-20260727
2026-07-27,ES,2026-08-28,5550,P,71,72,71.5,8000,"33,659",0.1188,-0.221,ES,CME,snap-20260727-es,ES-20260828-5550-P-20260727
2026-07-27,ES,2026-08-28,5600,Call,272,275.25,273.5,10736,43112,0.1146,0.81,ES,CME,snap-20260727-es,ES-20260828-5600-C-20260727
2026-07-27,ES,08/28/2026,5600,P,70,71,70.5,12844,39928,0.1171,-0.194,ES,CME,snap-20260727-es,ES-20260828-5600-P-20260727
2026-07-27,ES,2026-08-28,5650,C,221.75,224.5,223,17324,50633,0.1136,0.838,ES,CME,snap-20260727-es,ES-20260828-5650-C-20260727
2026-07-27,ES,2026-08-28,5650,P,69,70,69.5,16201,82185,0.1155,-0.162,ES,CME,snap-20260727-es,ES-20260828-5650-P-20260727
2026-07-27,ES,20260828,5700,C,171.5,173.5,172.5,20752,57486,0.1126,0.877,ES,CME,snap-20260727-es,ES-20260828-5700-C-20260727
07/27/2026,es,2026-08-28,"5,700.00",P,68.25,69,68.5,17084,54159,0.1139,-0.123,ES,CME,snap-20260727-es,ES-20260828-5700-P-20260727
20260727,ES,2026-08-28,5750,C,121.25,122.5,122,22994,59157,0.1116,0.927,ES,CME,snap-20260727-es,ES-20260828-5750-C-20260727
20260727,ES,2026-08-28,"5,750.00",P,67.25,68,67.5,8498,37243,0.1123,-0.073,ES,CME,snap-20260727-es,ES-20260828-5750-P-20260727
2026-07-27,ES,20260828,5800,C,71,71.75,71.5,17117,70380,0.1106,0.993,ES,CME,snap-20260727-es,ES-20260828-5800-C-20260727
2026-07-27,ES,08/28/2026,5800,P,66.25,67,66.5,26241,82302,0.1107,-0.01,ES,CME,snap-20260727-es,ES-20260828-5800-P-20260727
20260727,ES,2026-08-28,5850,Call,66.75,67.5,67,23128,"70,719",0.1116,0.938,ES,CME,snap-20260727-es,ES-20260828-5850-C-20260727
2026-07-27,ES,08/28/26,5850,P,111.75,113,112.5,14714,"65,630",0.1114,-0.062,ES,CME,snap-20260727-es,ES-20260828-5850-P-20260727
07/27/2026,ES,20260828,5900,C,67.5,68.25,68,23587,55266,0.11,0.886,ES,CME,snap-20260727-es,ES-20260828-5900-C-20260727
2026-07-27,ES,08/28/26,5900,P,162,163.75,163,30864,127925,0.1124,-0.114,ES,CME,snap-20260727-es,ES-20260828-5900-P-20260727
2026-07-27,ES,08/28/26,5900,P,162,163.75,163,30864,127925,0.1124,-0.114,ES,CME,snap-20260727-es-retry,ES-20260828-5900-P-20260727
20260727,ES,2026-08-28,5950,C,68.25,69,68.5,11742,44902,0.114,0.845,ES,CME,snap-20260727-es,ES-20260828-5950-C-20260727
2026-07-27,ES,2026-08-28,5950,P,212.25,214.75,213.5,14412,"50,769",0.1134,-0.155,ES,CME,snap-20260727-es,ES-20260828-5950-P-20260727
2026-07-27,ES,2026-08-28,6000,C,69,69.75,69.5,9335,35528,0.1152,0.811,ES,CME,snap-20260727-es,ES-20260828-6000-C-20260727
07/27/2026,ES,20260828,6000,P,262.5,265.75,264,20172,63192,0.1144,-0.19,ES,CME,snap-20260727-es,ES-20260828-6000-P-20260727
07/27/2026,ES,2026-08-28,6050,C,69.5,70.5,70,10847,32138,0.1164,0.784,ES,CME,snap-20260727-es,ES-20260828-6050-C-20260727
2026-07-27,ES,2026-08-28,6050,P,312.75,316.75,314.75,5052,13004,0.1154,-0.216,ES,CME,snap-20260727-es,ES-20260828-6050-P-20260727
20260727,ES,08/28/26,6100,C,70.25,71.25,70.75,14071,53625,0.1176,0.761,ES,CME,snap-20260727-es,ES-20260828-6100-C-20260727
2026-07-27,ES,2026-08-28,"6,100.00",P,363,367.5,365.25,7900,31865,0.1165,-0.239,ES,CME,snap-20260727-es,ES-20260828-6100-P-20260727
07/27/2026,ES,2026-08-28,6150,C,71,72.00,71.5,"6,348",16794,0.1189,0.741,ES,CME,snap-20260727-es,ES-20260828-6150-C-20260727
2026-07-27,es,2026-08-28,6150,P,413.25,418.5,416,6888,23224,0.1175,-0.26,ES,CME,snap-20260727-es,ES-20260828-6150-P-20260727
20260727,ES,08/28/2026,6200,C,71.75,72.75,72.25,3754,10222,0.1201,0.725,ES,CME,snap-20260727-es,ES-20260828-6200-C-20260727
20260727,ES,20260828,6200,put,463.5,469.75,466.50,3472,15827,0.1185,-0.275,ES,CME,snap-20260727-es,ES-20260828-6200-P-20260727
07/27/26,ES,08/28/2026,6250,C,72.5,73.5,73,994,4600,0.1213,0.71,ES,CME,snap-20260727-es,ES-20260828-6250-C-20260727
07/27/26,ES,2026-08-28,6250,P,513.5,520.75,517,2679,9849,0.1195,-0.29,ES,CME,snap-20260727-es,ES-20260828-6250-P-20260727
2026-07-27,es,08/28/2026,6300,C,73.25,74.25,73.75,1277,5424,0.1225,0.697,ES,CME,snap-20260727-es,ES-20260828-6300-C-20260727
2026-07-27,ES,08/28/2026,6300,P,563.75,571.75,567.75,1619,"6,660",0.1205,-0.303,ES,CME,snap-20260727-es,ES-20260828-6300-P-20260727
2026-07-27,ES,2026-09-18,5300,C,593.5,603,598.25,560,1239,0.1207,0.695,ES,CME,snap-20260727-es,ES-20260918-5300-C-20260727
2026-07-27,ES,09/18/2026,5300,P,97.5,99.00,98.25,465,1609,0.1269,-0.305,ES,CME,snap-20260727-es,ES-20260918-5300-P-20260727
20260727,ES,2026-09-18,5350,C,543.25,551.75,547.5,1881,8177,0.1197,0.707,ES,CME,snap-20260727-es,ES-20260918-5350-C-20260727
2026-07-27,ES,09/18/2026,5350,P,96.25,97.75,97,1093,5891,0.1253,-0.293,ES,CME,snap-20260727-es,ES-20260918-5350-P-20260727
2026-07-27,ES,09/18/2026,5400,C,492.75,500.5,496.5,5575,14917,0.1187,0.722,ES,CME,snap-20260727-es,ES-20260918-5400-C-20260727
2026-07-27,es,2026-09-18,5400,P,95,96.5,95.75,3264,12670,0.1236,-0.28,ES,CME,snap-20260727-es,ES-20260918-5400-P-20260727
07/27/26,ES,2026-09-18,5450,C,442.5,449.25,446,"5,032",13331,0.1177,0.738,ES,CME,snap-20260727-es,ES-20260918-5450-C-20260727
2026-07-27,ES,2026-09-18,5450,P,93.75,95.25,94.5,4728,20052,0.122,-0.26,ES,CME,snap-20260727-es,ES-20260918-5450-P-20260727
20260727,ES,2026-09-18,5500,C,392.25,398,395,"4,395",20080,0.1166,0.757,ES,CME,snap-20260727-es,ES-20260918-5500-C-20260727
2026-07-27,ES,2026-09-18,5500,P,92.5,94,93.25,4543,14208,0.1204,-0.243,ES,CME,snap-20260727-es,ES-20260918-5500-P-20260727
2026-07-27,ES,2026-09-18,5550,C,341.75,346.75,344.25,10044,"42,344",0.1156,0.779,ES,CME,snap-20260727-es,ES-20260918-5550-C-20260727
2026-07-27,ES,2026-09-18,5550,P,91.25,92.50,92,4824,14288,0.1188,-0.221,ES,CME,snap-20260727-es,ES-20260918-5550-P-20260727
2026-07-27,ES,2026-09-18,5600,C,291.5,295.5,293.5,13311,43074,0.1146,0.806,ES,CME,snap-20260727-es,ES-20260918-5600-C-20260727
20260727,ES,2026-09-18,5600,P ,90,91.25,90.5,"9,070",49447,0.1171,-0.194,ES,CME,snap-20260727-es,ES-20260918-5600-P-20260727
2026-07-27,ES,2026-09-18,5650,C,241,244.25,242.5,9637,36391,0.1136,0.838,ES,CME,snap-20260727-es,ES-20260918-5650-C-20260727
2026-07-27,ES,2026-09-18,5650,P ,88.75,90,89.5,6185,27684,0.1155,-0.162,ES,CME,snap-20260727-es,ES-20260918-5650-P-20260727
07/27/26,ES,2026-09-18,5700,C,190.75,193.25,192.00,9208,42082,0.1126,0.877,ES,CME,snap-20260727-es,ES-20260918-5700-C-20260727
2026-07-27,ES,20260918,5700,P,87.5,88.75,88,24703,"68,271",0.1139,-0.123,ES,CME,snap-20260727-es,ES-20260918-5700-P-20260727
20260727,ES,2026-09-18,5750,C,140.25,142,141,11577,33818,0.1116,0.927,ES,CME,snap-20260727-es,ES-20260918-5750-C-20260727
20260727,ES,09/18/2026,5750,P,86.25,87.5,87,8643,32531,0.1123,-0.073,ES,CME,snap-20260727-es,ES-20260918-5750-P-20260727
20260727,ES,2026-09-18,5800,C,89.75,91,90.5,29772,73174,0.1106,0.993,ES,CME,snap-20260727-es,ES-20260918-5800-C-20260727
2026-07-27,ES,20260918,5800,P,85.25,86.25,85.75,20031,71603,0.1107,-0.007,ES,CME,snap-20260727-es,ES-20260918-5800-P-20260727
2026-07-27,ES,09/18/2026,5850,Call,85.75,87.00,86.5,10646,41279,0.1116,0.938,ES,CME,snap-20260727-es,ES-20260918-5850-C-20260727
2026-07-27,ES,2026-09-18,5850,P,130.75,132.25,131.5,13012,49337,0.1114,-0.062,ES,CME,snap-20260727-es,ES-20260918-5850-P-20260727
20260727,ES,09/18/26,"5,900.00",C,86.75,88,87.50,12503,46557,0.1128,0.886,ES,CME,snap-20260727-es,ES-20260918-5900-C-20260727
